,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
107,NBIX US 08/17/18 C100 Equity,5/16/2018,,93.76000214,4.099999899999999,0.9376000214,4.5,35.94
108,NBIX US 08/17/18 C100 Equity,5/17/2018,,92.38999939,3.5,0.9238999939,3.91,35.63
109,NBIX US 08/17/18 C100 Equity,5/18/2018,,93.30000305,3.5999999,0.9330000305,4.41,36.67
110,NBIX US 08/17/18 C100 Equity,5/21/2018,,91.58499908,2.8499999,0.9158499908000001,4.1,38.85
111,NBIX US 08/17/18 C100 Equity,5/22/2018,,93.44000244,2.79999995,0.9344000244,4.1,36.03
112,NBIX US 08/17/18 C100 Equity,5/23/2018,,94.01499939,3.0999999,0.9401499939,4.91,39.32
113,NBIX US 08/17/18 C100 Equity,5/24/2018,,94.79000092,3.5,0.9479000092,4.5,35.9
114,NBIX US 08/17/18 C100 Equity,5/25/2018,,94.33999634,3.4000001,0.9433999634,4.81,38.89
115,NBIX US 08/17/18 C100 Equity,5/28/2018,,94.33999634,3.4000001,0.9433999634,4.81,38.89
116,NBIX US 08/17/18 C100 Equity,5/29/2018,,94.20999908,3.20000005,0.9420999908000001,4.91,40.48
117,NBIX US 08/17/18 C100 Equity,5/30/2018,,95.55000305,4.19999981,0.9555000305,5.5,40.65
118,NBIX US 08/17/18 C100 Equity,5/31/2018,,96.38999939,4.5,0.9638999939,5.1,36.5
119,NBIX US 08/17/18 C100 Equity,6/1/2018,,98.58000183,5.5,0.9858000183,5.91,35.32
120,NBIX US 08/17/18 C100 Equity,6/4/2018,,100.574997,6.900000099999999,1.0057499699999999,7.5,39.16
121,NBIX US 08/17/18 C100 Equity,6/5/2018,,99.58000183,6.5,0.9958000183,6.91,38.98
122,NBIX US 08/17/18 C100 Equity,6/6/2018,,99.72000122,5.80000019,0.9972000122,7.0,39.24
123,NBIX US 08/17/18 C100 Equity,6/7/2018,,98.73000336,5.0999999,0.9873000336,6.5,39.57
124,NBIX US 08/17/18 C100 Equity,6/8/2018,,99.33999634,6.19999981,0.9933999634,6.7,39.38
125,NBIX US 08/17/18 C100 Equity,6/11/2018,,99.20999908,5.5,0.9920999908,6.41,38.64
126,NBIX US 08/17/18 C100 Equity,6/12/2018,,100.9899979,7.0,1.009899979,7.5,39.83
127,NBIX US 08/17/18 C100 Equity,6/13/2018,,99.48000336,5.80000019,0.9948000336,6.41,38.42
128,NBIX US 08/17/18 C100 Equity,6/14/2018,,99.91000366,5.9000001,0.9991000366,6.6,38.72
129,NBIX US 08/17/18 C100 Equity,6/15/2018,,102.3000031,7.30000019,1.023000031,8.2,40.54
130,NBIX US 08/17/18 C100 Equity,6/18/2018,,102.3499985,6.900000099999999,1.023499985,7.81,38.95
131,NBIX US 08/17/18 C100 Equity,6/19/2018,,102.58000179999999,7.400000099999999,1.025800018,7.81,38.54
132,NBIX US 08/17/18 C100 Equity,6/20/2018,,105.7399979,9.39999962,1.0573999790000002,10.4,42.74
133,NBIX US 08/17/18 C100 Equity,6/21/2018,,103.3199997,8.0,1.0331999969999999,8.81,42.68
134,NBIX US 08/17/18 C100 Equity,6/22/2018,,101.75,6.69999981,1.0175,8.0,43.89
135,NBIX US 08/17/18 C100 Equity,6/25/2018,,99.68000031,5.9000001,0.9968000030999999,6.41,42.24
136,NBIX US 08/17/18 C100 Equity,6/26/2018,,99.52999878,5.69999981,0.9952999878,6.5,43.83
137,NBIX US 08/17/18 C100 Equity,6/27/2018,,96.36000061,4.099999899999999,0.9636000061,4.91,43.89
138,NBIX US 08/17/18 C100 Equity,6/28/2018,,97.30000305,4.69999981,0.9730000305000001,5.0,41.97
139,NBIX US 08/17/18 C100 Equity,6/29/2018,,98.56999969,5.0,0.9856999969,5.5,41.68
140,NBIX US 08/17/18 C100 Equity,7/2/2018,,99.18000031,5.4000001,0.9918000030999999,5.91,43.71
141,NBIX US 08/17/18 C100 Equity,7/3/2018,,99.09999847,5.0,0.9909999847000001,5.81,43.89
142,NBIX US 08/17/18 C100 Equity,7/4/2018,,99.09999847,5.0,0.9909999847000001,5.81,43.89
143,NBIX US 08/17/18 C100 Equity,7/5/2018,,98.87999725,5.19999981,0.9887999725000001,5.41,42.81
144,NBIX US 08/17/18 C100 Equity,7/6/2018,,102.48500059999999,6.5,1.0248500059999999,7.41,43.51
145,NBIX US 08/17/18 C100 Equity,7/9/2018,,102.75,7.099999900000001,1.0275,7.5,44.7
146,NBIX US 08/17/18 C100 Equity,7/10/2018,,102.66500090000001,7.0,1.0266500090000001,7.5,45.63
147,NBIX US 08/17/18 C100 Equity,7/11/2018,,101.54000090000001,5.80000019,1.0154000090000002,6.6,44.34
148,NBIX US 08/17/18 C100 Equity,7/12/2018,,102.7850037,6.0999999,1.027850037,7.2,43.92
149,NBIX US 08/17/18 C100 Equity,7/13/2018,,102.86000059999999,6.4000001,1.028600006,7.6,47.58
150,NBIX US 08/17/18 C100 Equity,7/16/2018,,101.26999659999998,5.0,1.0126999659999998,6.41,47.65
151,NBIX US 08/17/18 C100 Equity,7/17/2018,,104.5550003,7.19999981,1.045550003,8.7,52.23
152,NBIX US 08/17/18 C100 Equity,7/18/2018,,103.30999759999999,6.900000099999999,1.033099976,7.31,46.39
153,NBIX US 08/17/18 C100 Equity,7/19/2018,,103.7600021,7.0,1.037600021,7.41,45.43
154,NBIX US 08/17/18 C100 Equity,7/20/2018,,103.3000031,6.30000019,1.033000031,6.91,44.6
155,NBIX US 08/17/18 C100 Equity,7/23/2018,,103.76999659999998,6.69999981,1.037699966,7.31,48.06
156,NBIX US 08/17/18 C100 Equity,7/24/2018,,105.77999879999999,7.5,1.057799988,8.11,43.47
157,NBIX US 08/17/18 C100 Equity,7/25/2018,,108.074997,9.19999981,1.08074997,9.9,45.26
158,NBIX US 08/17/18 C100 Equity,7/26/2018,,108.25,9.30000019,1.0825,10.11,47.04
159,NBIX US 08/17/18 C100 Equity,7/27/2018,,107.1449966,8.69999981,1.071449966,9.2,47.07
160,NBIX US 08/17/18 C100 Equity,7/30/2018,,98.94999695,3.5,0.9894999695,4.41,54.6
161,NBIX US 08/17/18 C100 Equity,7/31/2018,,100.449997,4.0,1.00449997,5.31,57.51
162,NBIX US 08/17/18 C100 Equity,8/1/2018,,113.6200028,12.69999981,1.136200028,14.5,52.96
163,NBIX US 08/17/18 C100 Equity,8/2/2018,,115.58000179999999,15.0,1.1558000179999999,17.8,86.26
164,NBIX US 08/17/18 C100 Equity,8/3/2018,,116.0199966,14.89999962,1.160199966,17.21,72.44
165,NBIX US 08/17/18 C100 Equity,8/6/2018,,115.7699966,15.10000038,1.157699966,16.61,70.58
166,NBIX US 08/17/18 C100 Equity,8/7/2018,,117.2070007,16.5,1.1720700069999999,18.3,85.94
167,NBIX US 08/17/18 C100 Equity,8/8/2018,,116.84999850000001,16.5,1.1684999850000002,17.61,79.4
168,NBIX US 08/17/18 C100 Equity,8/9/2018,,119.4899979,18.79999924,1.1948999790000001,20.8,110.79
169,NBIX US 08/17/18 C100 Equity,8/10/2018,,118.6399994,18.0,1.1863999939999998,19.0,78.54
170,NBIX US 08/17/18 C100 Equity,8/13/2018,,115.97000120000001,15.69999981,1.159700012,16.8,119.5
171,NBIX US 08/17/18 C100 Equity,8/14/2018,,116.16999820000001,15.60000038,1.161699982,16.5,106.75
172,NBIX US 08/17/18 C100 Equity,8/15/2018,,113.9800034,13.5,1.139800034,14.9,161.57
173,NBIX US 08/17/18 C100 Equity,8/16/2018,,113.5100021,12.89999962,1.135100021,14.2,204.4
174,NBL US 01/18/19 C15 Equity,6/14/2017,,29.62000084,13.60000038,0.2962000084,15.9,57.25
175,NBL US 01/18/19 C15 Equity,6/15/2017,,29.72500038,14.10000038,0.2972500038,15.61,50.2
176,NBL US 01/18/19 C15 Equity,6/16/2017,,29.43499947,14.30000019,0.2943499947,15.7,55.58
177,NBL US 01/18/19 C15 Equity,6/19/2017,,29.19000053,13.39999962,0.2919000053,16.11,65.59
178,NBL US 01/18/19 C15 Equity,6/20/2017,,28.5,13.10000038,0.285,14.7,53.78
179,NBL US 01/18/19 C15 Equity,6/21/2017,,28.125,12.69999981,0.28125,14.61,58.0
180,NBL US 01/18/19 C15 Equity,6/22/2017,,27.76000023,12.60000038,0.2776000023,13.9,52.46
181,NBL US 01/18/19 C15 Equity,6/23/2017,,28.20499992,11.69999981,0.2820499992,14.61,57.95
182,NBL US 01/18/19 C15 Equity,6/26/2017,,28.29999924,12.5,0.28299999239999996,14.61,56.7
183,NBL US 01/18/19 C15 Equity,6/27/2017,,27.79500008,12.69999981,0.2779500008,13.9,52.53
184,NBL US 01/18/19 C15 Equity,6/28/2017,,28.02000046,12.89999962,0.2802000046,13.9,49.11
185,NBL US 01/18/19 C15 Equity,6/29/2017,,28.67000008,12.60000038,0.2867000008,14.61,51.92
186,NBL US 01/18/19 C15 Equity,6/30/2017,,28.29500008,12.69999981,0.2829500008,15.31,67.35
187,NBL US 01/18/19 C15 Equity,7/3/2017,,28.93000031,12.19999981,0.2893000031,15.5,62.86
188,NBL US 01/18/19 C15 Equity,7/4/2017,,28.93000031,12.19999981,0.2893000031,15.5,62.86
189,NBL US 01/18/19 C15 Equity,7/5/2017,,28.09000015,12.80000019,0.2809000015,14.81,62.57
190,NBL US 01/18/19 C15 Equity,7/6/2017,,27.16110039,11.80000019,0.27161100390000004,14.5,69.59
191,NBL US 01/18/19 C15 Equity,7/7/2017,,27.04999924,11.10000038,0.2704999924,13.61,58.48
192,NBL US 01/18/19 C15 Equity,7/10/2017,,27.75,11.69999981,0.2775,13.61,49.49
193,NBL US 01/18/19 C15 Equity,7/11/2017,,27.69499969,12.10000038,0.2769499969,13.9,55.19
194,NBL US 01/18/19 C15 Equity,7/12/2017,,27.84499931,12.69999981,0.27844999309999996,13.7,49.29
195,NBL US 01/18/19 C15 Equity,7/13/2017,,28.19499969,12.19999981,0.2819499969,14.11,51.09
196,NBL US 01/18/19 C15 Equity,7/14/2017,,28.26000023,12.10000038,0.2826000023,14.9,63.0
197,NBL US 01/18/19 C15 Equity,7/17/2017,,28.71500015,13.5,0.28715000150000003,14.5,50.48
198,NBL US 01/18/19 C15 Equity,7/18/2017,,28.35499954,13.0,0.28354999540000003,15.11,64.59
199,NBL US 01/18/19 C15 Equity,7/19/2017,,29.70499992,12.80000019,0.29704999919999997,15.7,56.06
200,NBL US 01/18/19 C15 Equity,7/20/2017,,28.71500015,13.39999962,0.28715000150000003,15.9,71.92
201,NBL US 01/18/19 C15 Equity,7/21/2017,,28.36499977,12.89999962,0.2836499977,14.7,58.27
202,NBL US 01/18/19 C15 Equity,7/24/2017,,28.19000053,12.89999962,0.2819000053,14.2,52.35
203,NBL US 01/18/19 C15 Equity,7/25/2017,,29.01000023,13.30000019,0.2901000023,15.11,55.36
204,NBL US 01/18/19 C15 Equity,7/26/2017,,28.63500023,13.19999981,0.2863500023,15.5,67.09
205,NBL US 01/18/19 C15 Equity,7/27/2017,,29.10499954,12.5,0.29104999540000004,15.31,58.18
206,NBL US 01/18/19 C15 Equity,7/28/2017,,28.99500084,13.30000019,0.2899500084,15.7,65.86
207,NBL US 01/18/19 C15 Equity,7/31/2017,,28.92000008,13.30000019,0.2892000008,15.0,56.07
208,NBL US 01/18/19 C15 Equity,8/1/2017,,28.44000053,13.0,0.2844000053,14.9,61.19
209,NBL US 01/18/19 C15 Equity,8/2/2017,,28.09499931,12.60000038,0.28094999309999996,14.11,53.26
210,NBL US 01/18/19 C15 Equity,8/3/2017,,25.81999969,10.60000038,0.2581999969,12.9,64.28
211,NBL US 01/18/19 C15 Equity,8/4/2017,,25.91500092,10.89999962,0.25915000920000003,12.0,49.54
212,NBL US 01/18/19 C15 Equity,8/7/2017,,25.56999969,10.69999981,0.2556999969,11.61,48.09
213,NBL US 01/18/19 C15 Equity,8/8/2017,,25.35000038,10.39999962,0.2535000038,11.4,48.02
214,NBL US 01/18/19 C15 Equity,8/9/2017,,25.29000092,9.80000019,0.2529000092,11.9,57.0
215,NBL US 01/18/19 C15 Equity,8/10/2017,,24.92499924,9.89999962,0.24924999239999998,11.2,50.78
216,NBL US 01/18/19 C15 Equity,8/11/2017,,24.64500046,9.80000019,0.2464500046,10.81,48.21
217,NBL US 01/18/19 C15 Equity,8/14/2017,,24.60499954,9.60000038,0.24604999540000003,11.11,53.72
218,NBL US 01/18/19 C15 Equity,8/15/2017,,24.60000038,9.69999981,0.2460000038,11.0,52.75
219,NBL US 01/18/19 C15 Equity,8/16/2017,,23.76000023,8.89999962,0.2376000023,10.9,61.81
220,NBL US 01/18/19 C15 Equity,8/17/2017,,23.03000069,8.5,0.23030000690000002,9.4,48.32
221,NBL US 01/18/19 C15 Equity,8/18/2017,,23.63500023,9.0,0.2363500023,9.9,49.44
222,NBL US 01/18/19 C15 Equity,8/21/2017,,23.54999924,8.80000019,0.23549999239999997,9.5,44.33
223,NBL US 01/18/19 C15 Equity,8/22/2017,,23.49500084,8.89999962,0.2349500084,9.5,44.89
224,NBL US 01/18/19 C15 Equity,8/23/2017,,23.72999954,9.19999981,0.23729999540000002,9.7,45.16
225,NBL US 01/18/19 C15 Equity,8/24/2017,,23.55500031,9.0,0.23555000310000002,9.5,44.32
226,NBL US 01/18/19 C15 Equity,8/25/2017,,23.65999985,9.10000038,0.2365999985,9.61,44.14
227,NBL US 01/18/19 C15 Equity,8/28/2017,,23.375,8.69999981,0.23375,9.4,45.04
228,NBL US 01/18/19 C15 Equity,8/29/2017,,23.58499908,8.89999962,0.2358499908,9.4,42.37
229,NBL US 01/18/19 C15 Equity,8/30/2017,,23.71500015,9.0,0.2371500015,9.7,45.86
230,NBL US 01/18/19 C15 Equity,8/31/2017,,23.76000023,9.19999981,0.2376000023,9.7,45.25
231,NBL US 01/18/19 C15 Equity,9/1/2017,,24.22999954,9.19999981,0.24229999540000002,10.5,52.07
232,NBL US 01/18/19 C15 Equity,9/4/2017,,24.22999954,9.19999981,0.24229999540000002,10.5,52.07
233,NBL US 01/18/19 C15 Equity,9/5/2017,,24.35499954,9.5,0.24354999540000002,10.5,49.8
234,NBL US 01/18/19 C15 Equity,9/6/2017,,25.24500084,10.30000019,0.2524500084,11.4,52.08
235,NBL US 01/18/19 C15 Equity,9/7/2017,,25.18499947,10.19999981,0.2518499947,11.11,47.95
236,NBL US 01/18/19 C15 Equity,9/8/2017,,24.60989952,9.80000019,0.2460989952,10.9,52.86
237,NBL US 01/18/19 C15 Equity,9/11/2017,,25.04999924,9.80000019,0.2504999924,11.4,55.47
238,NBL US 01/18/19 C15 Equity,9/12/2017,,25.10499954,10.10000038,0.2510499954,11.5,56.26
239,NBL US 01/18/19 C15 Equity,9/13/2017,,25.93000031,10.69999981,0.2593000031,11.7,47.09
240,NBL US 01/18/19 C15 Equity,9/14/2017,,25.95999908,10.5,0.2595999908,12.5,60.36
241,NBL US 01/18/19 C15 Equity,9/15/2017,,26.05500031,10.69999981,0.2605500031,12.2,54.01
242,NBL US 01/18/19 C15 Equity,9/18/2017,,26.125,11.10000038,0.26125,12.4,56.5
243,NBL US 01/18/19 C15 Equity,9/19/2017,,26.42499924,11.30000019,0.26424999239999997,12.61,55.63
244,NBL US 01/18/19 C15 Equity,9/20/2017,,26.82990074,11.30000019,0.2682990074,14.0,72.48
